$$Component_Title,$$Component_Description,$$Component_Type,$$Rule_Id,$$Rule_Description,$Parameter_Id,$Parameter_Description,$Parameter_Value_Alternatives,$Parameter_Value_Default,$$Profile_Source,$$Profile_Description,$$Control_Id_List,Check_Id,Check_Description,$$Namespace,Target_Component
A human readable name for the component.,A description of the component including information about its function.,A category describing the purpose of the component. ALLOWED VALUES interconnection:software:hardware:service:physical:process-procedure:plan:guidance:standard:validation,A textual label that uniquely identifies a policy (desired state) that can be used to reference it elsewhere in this or other documents.,A description of the policy (desired state) including information about its purpose and scope.,A textual label that uniquely identifies the parameter associated with that policy (desired state) or controls implemented by the policy (desired state).,A description of the parameter including the purpose and use of the parameter.,ONLY for the policy (desired state) parameters: A value or set of values the parameter can take. The catalog parameters values are defined in the catalog. ,"A value recommended by Compliance Team in this profile for the parameter of the control or policy (desired state). If a CIS-benchmark exists, the default default could be the CIS-benchmark recommended value.",A URL reference to the source catalog or profile for which this component is implementing controls for. A profile designates a selection and configuration of controls from one or more catalogs.,A description of the profile.,A list of textual labels that uniquely identify the controls or statements that the component implements.,A textual label that uniquely identifies a check of the policy (desired state) that can be used to reference it elsewhere in this or other documents.,A description of the check of the policy (desired state) including the method (interview or examine or test) and procedure details.,"A namespace qualifying the property name. This allows different organizations to associate distinct semantics with the same name. Used in conjunction with ""class"" as the ontology concept. ",Target_Component
OSCAP,OSCAP,validation,CIS-reload_dconf_db,,,,,,,,,dconf_db_up_to_date,Reload Dconf database,https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-enable_authselect,,,,,,,,,var_authselect_profile=sssd,Enable Authselect,https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-enable_authselect,,,,,,,,,enable_authselect,Enable Authselect,https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.1.1,,,,,,,,,kernel_module_cramfs_disabled,Ensure cramfs kernel module is not available (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.1.2,,,,,,,,,kernel_module_freevxfs_disabled,Ensure freevxfs kernel module is not available (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.1.3,,,,,,,,,kernel_module_hfs_disabled,Ensure hfs kernel module is not available (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.1.4,,,,,,,,,kernel_module_hfsplus_disabled,Ensure hfsplus kernel module is not available (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.1.5,,,,,,,,,kernel_module_jffs2_disabled,Ensure jffs2 kernel module is not available (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.1.6,,,,,,,,,kernel_module_squashfs_disabled,Ensure squashfs kernel module is not available (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.1.7,,,,,,,,,kernel_module_udf_disabled,Ensure udf kernel module is not available (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.1.8,,,,,,,,,kernel_module_usb-storage_disabled,Ensure usb-storage kernel module is not available (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.2.1.1,,,,,,,,,partition_for_tmp,Ensure /tmp is a separate partition (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.2.1.2,,,,,,,,,mount_option_tmp_nodev,Ensure nodev option set on /tmp partition (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.2.1.3,,,,,,,,,mount_option_tmp_nosuid,Ensure nosuid option set on /tmp partition (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.2.1.4,,,,,,,,,mount_option_tmp_noexec,Ensure noexec option set on /tmp partition (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.2.2.1,,,,,,,,,partition_for_dev_shm,Ensure /dev/shm is a separate partition (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.2.2.2,,,,,,,,,mount_option_dev_shm_nodev,Ensure nodev option set on /dev/shm partition (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.2.2.3,,,,,,,,,mount_option_dev_shm_nosuid,Ensure nosuid option set on /dev/shm partition (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.2.2.4,,,,,,,,,mount_option_dev_shm_noexec,Ensure noexec option set on /dev/shm partition (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.2.3.1,,,,,,,,,partition_for_home,Ensure separate partition exists for /home (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
OSCAP,OSCAP,validation,CIS-1.1.2.3.2,,,,,,,,,mount_option_home_nodev,Ensure nodev option set on /home partition (Automated),https://ibm.github.io/compliance-trestle/schemas/oscal/cd,Red_Hat_Enterprise_Linux_9
